Drug name	STITCH ID	Phase	Drug status	Smiles	Level 1 ATC Codes
DNCB	CIDs00000006	Phase 1	unapproved	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1	
2-deoxy-D-galactopyranose	CIDs00000040	Phase 3	unapproved	OCC1OC(O)CC(O)C1O	
carnitine	CIDs00000085	Phase 3	unapproved	C[N+](C)(C)CC(O)CC(=O)[O-]	
gamma-aminobutyric acid (GABA	CIDs00000119	Phase 1	unapproved	NCCCC(=O)O	N - NERVOUS SYSTEM
delta-aminovaleric acid	CIDs00000138	Phase 1	unapproved	NCCCCC(=O)O	
polyethylene glycol	CIDs00000174	Phase 4	approved	OCCO	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
acetate	CIDs00000175	Phase 4	approved	CC(=O)O	S - SENSORY ORGANS | G - GENITO URINARY SYSTEM AND SEX HORMONES
N-acetylglutamate	CIDs00000185	Phase 4	approved	CC(=O)NC(CCC(=O)O)C(=O)O	
acetylcholine	CIDs00000187	Phase 4	approved	CC(=O)OCC[N+](C)(C)C	S - SENSORY ORGANS
adenine	CIDs00000190	Phase 3	unapproved	Nc1ncnc2[nH]cnc12	
ammonia	CIDs00000222	Phase 4	approved	N	
quinacrine	CIDs00000237	Phase 2	unapproved	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
benzyl alcohol	CIDs00000244	Phase 4	approved	OCc1ccccc1	P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
betaine	CIDs00000247	Phase 4	approved	C[N+](C)(C)CC(=O)O	A - ALIMENTARY TRACT AND METABOLISM
calcium ions	CIDs00000271	Phase 4	approved	[CaH2]	
carbon dioxide	CIDs00000280	Phase 3	unapproved	O=C=O	V - VARIOUS
flue gas	CIDs00000281	Phase 3	unapproved	[C-]#[O+]	V - VARIOUS
methane	CIDs00000297	Phase 3	unapproved	[C]	A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM
citric acid	CIDs00000311	Phase 4	approved	O=C(O)CC(O)(CC(=O)O)C(=O)O	A - ALIMENTARY TRACT AND METABOLISM
chloride	CIDs00000312	Phase 4	approved	Cl.N	B - BLOOD AND BLOOD FORMING ORGANS | G - GENITO URINARY SYSTEM AND SEX HORMONES
coumarin	CIDs00000323	Phase 4	approved	O=c1ccc2ccccc2o1	
phloroglucinol	CIDs00000359	Phase 4	approved	Oc1cc(O)cc(O)c1	A - ALIMENTARY TRACT AND METABOLISM
gallic acid	CIDs00000370	Phase 2	unapproved	O=C(O)c1cc(O)c(O)c(O)c1	
octanoate	CIDs00000379	Phase 2	unapproved	CCCCCCCC(=O)O	
sulfur	CIDs00000402	Phase 4	approved	[S]	D - DERMATOLOGICALS | D - DERMATOLOGICALS
beta-hydroxybutyrate	CIDs00000441	Phase 1	unapproved	CC(O)CC(=O)O	
bupropion	CIDs00000444	Phase 4	approved	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	N - NERVOUS SYSTEM
