hg38_ensgid	gene_id	CGE	OGE	Network	Expression
ENSG00000179921	ENSG00000179921	-2.3210820360838382	0.0449999999999999	0.07266435806243632	0.26007670067507616
ENSG00000129084	ENSG00000129084	2.9351812282378216	1.712	0.6360803643851002	0.9774816493738385
ENSG00000122642	ENSG00000122642	-1.4392858374974693	1.181	0.6333025519435953	0.7005612306380387
ENSG00000165671	ENSG00000165671	-2.379653504301836	1.901	0.47375439362742044	0.838292663454219
ENSG00000177700	ENSG00000177700	2.612285740864142	0.05	0.7281522846862587	0.8122025685570757
ENSG00000005020	ENSG00000005020	-0.7819057599177948	1.326	0.20293972671117488	0.6851815239929655
ENSG00000170113	ENSG00000170113	-2.546153185866157	0.956	0.0887548095921466	0.4671987977526092
ENSG00000105499	ENSG00000105499	-2.0479385684592586	0.99	0.22195087456583681	0.4820178663502982
ENSG00000026559	ENSG00000026559	-2.4476064946310028	1.243	0.5219173894053785	0.31525063729206254
ENSG00000143314	ENSG00000143314	-0.7599305933420187	0.6419999999999999	0.7624940205070609	0.882246618578354
ENSG00000114125	ENSG00000114125	-1.7948160756454454	0.742	0.5437030219837358	0.9599595009922405
ENSG00000164440	ENSG00000164440	-2.415380926302616	0.8899999999999999	0.24193371602088143	0.21809584260321319
ENSG00000183607	ENSG00000183607	-1.586367775437547	0.7729999999999999	0.0402819200931761	0.19896535953458802
ENSG00000165359	ENSG00000165359	-2.0529528676204243	1.844	0.07679582371414903	0.5684558690381796
ENSG00000109205	ENSG00000109205	-2.0127900629211632	0.4810000000000001	0.12297955533370772	0.13745769197864627
ENSG00000167874	ENSG00000167874	-1.862276026008876	0.7509999999999999	0.005307085959110667	0.4911397363187856
ENSG00000165416	ENSG00000165416	-0.0806500262713569	1.541	0.7476031072565047	0.9304582251217439
ENSG00000125246	ENSG00000125246	-2.4917244000917216	0.687	0.19436388594247206	0.5471793876970422
ENSG00000253117	ENSG00000253117	-2.174512991159829	0.7230000000000001	0.03338439300347331	0.08217190883591985
ENSG00000135973	ENSG00000135973	-2.2105449752251	1.146	0.017335641937563696	0.10553028151637428
ENSG00000054392	ENSG00000054392	-2.220688968780661	1.159	0.06657307460327365	0.4934224669483472
ENSG00000131116	ENSG00000131116	-1.1975074761647877	1.215	0.04424388011896591	0.7515861050970306
ENSG00000130023	ENSG00000130023	-2.173336376243465	0.973	0.0	0.7967114998423501
ENSG00000188554	ENSG00000188554	-2.4532961761814387	1.344	0.6339544726607185	0.9248072515397758
ENSG00000213920	ENSG00000213920	-2.212706352389984	0.5289999999999999	0.01253572097086167	0.8163818819388848
ENSG00000113580	ENSG00000113580	-2.163961502504609	1.676	0.7228094257606955	0.8274574393009013
ENSG00000157429	ENSG00000157429	-2.3120416720543053	0.77	0.2192510555104927	0.47472491731830946
ENSG00000049768	ENSG00000049768	-2.124246556954417	1.801	0.8675686861754124	0.24103602716722594
ENSG00000082212	ENSG00000082212	-1.6400932982665284	0.933	0.25617770013102886	0.7483605104876162
ENSG00000152056	ENSG00000152056	-2.0424786318194057	0.917	0.2618813044653814	0.3190785596273298
ENSG00000164597	ENSG00000164597	-2.158554007665728	1.031	0.38252033027599264	0.8176561519115931
ENSG00000146247	ENSG00000146247	-1.7557343137336123	1.883	0.634496370707764	0.7826829395719999
ENSG00000164649	ENSG00000164649	-2.156848037185357	1.321	0.1732664670035981	0.5304664645127863
ENSG00000211445	ENSG00000211445	-2.527805865695904	1.1949999999999998	0.24729934901520353	0.6070365265901958
ENSG00000171160	ENSG00000171160	-2.117552689819713	1.274	0.24424876770449866	0.5025895798244231
ENSG00000136875	ENSG00000136875	2.2111756072673434	1.769	0.6270358353611614	0.9008464866495527
ENSG00000105497	ENSG00000105497	-1.6305666405559696	1.086	0.06065992803810237	0.6102787067935151
ENSG00000172216	ENSG00000172216	-2.2227791818165974	0.971	0.5729979617728417	0.6602777248192135
ENSG00000072274	ENSG00000072274	0.132189838707119	1.415	0.6214732430689878	0.6199371838033241
ENSG00000160685	ENSG00000160685	-2.1118404725763518	1.472	0.7697982571077973	0.56567625015274
ENSG00000029639	ENSG00000029639	-1.4489428816420653	0.5960000000000001	0.2702169256047087	0.7477528851600417
ENSG00000148057	ENSG00000148057	-2.2243093745608102	1.315	0.0007204509057631913	0.5064026989673636
ENSG00000112685	ENSG00000112685	-0.672095826321358	1.406	0.4739570724402571	0.8694840379639103
ENSG00000086289	ENSG00000086289	-2.177799887914781	0.945	0.14151421559451757	0.5504236198116402
ENSG00000104964	ENSG00000104964	-2.0624029980018284	1.635	0.6488007736943908	0.8549259655364421
ENSG00000111886	ENSG00000111886	-2.341735515551637	1.103	0.2818166219504586	0.11094439906081127
ENSG00000181789	ENSG00000181789	0.9468306255591749	1.599	0.6213474137393149	0.9234512754850812
ENSG00000154917	ENSG00000154917	-1.9384945999379972	1.666	0.5917614026330568	0.4252980253976616
ENSG00000205581	ENSG00000205581	-2.121744092986644	1.084	0.30545402549863776	0.8815423384742964
ENSG00000180879	ENSG00000180879	-2.168636695054865	1.555	0.42147573885734496	0.6841061654067541
ENSG00000100410	ENSG00000100410	2.7805275682249064	1.541	0.5980387263160084	0.9530696574540634
ENSG00000142599	ENSG00000142599	-1.6399918944436216	1.876	0.3525318732971444	0.8246739116980863
ENSG00000075131	ENSG00000075131	0.4010792635225801	0.949	0.2263452299245024	0.6584186733595637
ENSG00000120697	ENSG00000120697	-1.1007123637881582	1.543	0.3448036646492378	0.7731418199826059
ENSG00000180998	ENSG00000180998	-1.6765212601621204	1.497	0.0	0.34244035987593946
ENSG00000151929	ENSG00000151929	-2.1692379565938507	1.549	0.8977011709407043	0.6116060304948275
ENSG00000145736	ENSG00000145736	-0.1259576882573497	0.399	0.45736663130966493	0.35592503799648617
ENSG00000183530	ENSG00000183530	-1.7925194075628477	1.719	0.08509775171065495	0.7437397104544523
ENSG00000157617	ENSG00000157617	-1.9408918557017485	1.317	0.12337336993822925	0.502513116780845
ENSG00000185000	ENSG00000185000	-2.3647745508178284	0.778	0.3317269815519644	0.4001914590299174
ENSG00000198680	ENSG00000198680	-2.443711419914969	0.26	0.030644537343233295	0.6280219225738048
ENSG00000197872	ENSG00000197872	-2.453368093699316	1.47	0.03441286578898109	0.5503626643231647
ENSG00000109062	ENSG00000109062	-2.472877915907029	0.839	0.6335734489715272	0.7152650797051461
ENSG00000162511	ENSG00000162511	-2.206344215057418	1.596	0.15540608556394417	0.6715513833851913
ENSG00000162191	ENSG00000162191	-2.3700885325406893	1.551	0.4527927871716479	0.9285581536242926
ENSG00000131323	ENSG00000131323	-2.0544100589713152	1.772	0.6665394854516338	0.6430708680651835
ENSG00000132688	ENSG00000132688	-2.334033364586262	1.459	0.3184566668746491	0.5091310514860783
ENSG00000149573	ENSG00000149573	-1.5526833622934262	0.1319999999999999	0.17983153428589255	0.49911699362861545
ENSG00000180667	ENSG00000180667	-1.8209122760635248	1.21	0.46022649279341116	0.4685797042813243
ENSG00000132740	ENSG00000132740	-2.305525105390432	1.043	0.4711789480252075	0.6359491271372794
ENSG00000189337	ENSG00000189337	-2.0614026310631397	1.615	0.30425708699902254	0.5199453927711857
ENSG00000115705	ENSG00000115705	-2.310875888804368	0.889	0.1538376905638402	0.22214546064199545
ENSG00000215475	ENSG00000215475	-2.232495871170429	0.409	0.3808358811172813	0.26733252350573494
ENSG00000154803	ENSG00000154803	-1.6542523389279729	1.608	0.31967013997213045	0.7363045727340528
ENSG00000166603	ENSG00000166603	-1.938296466727143	0.3939999999999999	0.44640741665106803	0.1981599207005239
ENSG00000170085	ENSG00000170085	-2.290477290454509	1.083	0.0715897131923213	0.4661604033312206
ENSG00000061918	ENSG00000061918	-2.113542498910097	1.321	0.3904015099519561	0.5168246076734888
ENSG00000198586	ENSG00000198586	-1.5281810952420127	1.831	0.34081029928662054	0.8578805044847257
ENSG00000126860	ENSG00000126860	-2.142304058525553	0.6519999999999999	0.05585002391797176	0.5679236965061645
ENSG00000080839	ENSG00000080839	-1.3634229077868805	1.285	0.5737362991618311	0.5597705601419181
ENSG00000197272	ENSG00000197272	-2.0537691455245746	1.491	0.09375626546868826	0.15265656092149885
ENSG00000254470	ENSG00000254470	-2.187657393610293	0.7569999999999999	0.19980189679915145	0.5451944123767399
ENSG00000188033	ENSG00000188033	-2.1444695611520457	0.5029999999999999	0.22835506749027681	0.6411931559522777
ENSG00000172023	ENSG00000172023	-2.2872711335193308	0.3839999999999999	0.03924585595141532	0.4285483190003721
ENSG00000148291	ENSG00000148291	-2.132584782302883	0.615	0.15863553170691125	0.706196574310807
ENSG00000121940	ENSG00000121940	-1.290749119126583	1.428	0.37388427861317364	0.8439531988435395
ENSG00000081818	ENSG00000081818	-1.9990568746857431	0.6219999999999999	0.018786526902518665	0.4339135908050883
ENSG00000180818	ENSG00000180818	-2.171579165852473	1.268	0.1772515130716915	0.1428356456201934
ENSG00000145375	ENSG00000145375	0.4440772885488058	0.917	0.770502485389239	0.6053403251270452
ENSG00000164197	ENSG00000164197	-1.9487119885638209	1.159	0.0372901977912273	0.5270246156503146
ENSG00000169129	ENSG00000169129	-1.957008130016716	1.509	0.07708491919885194	0.4776413776874255
ENSG00000171316	ENSG00000171316	-2.317947825953574	1.92	0.6510074665668352	0.4682344077915697
ENSG00000131482	ENSG00000131482	-2.176605794533667	0.986	0.17057694307522722	0.21538528599190526
ENSG00000072415	ENSG00000072415	-1.8198519746315152	1.567	0.5473804621368108	0.6620630099857245
ENSG00000183091	ENSG00000183091	-2.315114360308596	1.572	0.3516942243297768	0.2900609594236479
ENSG00000103021	ENSG00000103021	-1.6951990987499472	0.569	0.0	0.3989742440954781
ENSG00000134802	ENSG00000134802	-2.12264431527779	1.14	0.17448721948378776	0.5158135048295097
ENSG00000104131	ENSG00000104131	0.561120079339136	1.58	0.3560878517501716	0.8065211536064123
ENSG00000143167	ENSG00000143167	-2.122488400717169	0.927	0.3469161415111999	0.21441671938447265
ENSG00000132205	ENSG00000132205	-2.396897292454642	0.945	0.08608868367962398	0.36240896520348354
ENSG00000183978	ENSG00000183978	-1.4818934362891911	0.4619999999999999	0.25359289532247664	0.8137384167086834
ENSG00000078795	ENSG00000078795	-1.8750304418123425	1.006	0.11190127077223853	0.20905442376049901
ENSG00000162482	ENSG00000162482	-1.5148708935534578	0.068	0.16647542688380024	0.22929500405833658
ENSG00000138796	ENSG00000138796	-1.8740210567496167	0.998	0.41334851604583933	0.6935854250794133
ENSG00000131507	ENSG00000131507	-2.0189039851282065	1.739	0.5043401759530792	0.8216101733714898
ENSG00000144136	ENSG00000144136	-1.6003982953572964	1.512	0.15274651109585907	0.7619160547785113
ENSG00000205189	ENSG00000205189	-1.868543878097903	1.707	0.41574904848068883	0.5880625641736905
ENSG00000089012	ENSG00000089012	-1.8862701357325145	0.2489999999999999	0.1470170129573012	0.2378270462600901
ENSG00000116161	ENSG00000116161	-1.008207199732349	1.616	0.415533994717248	0.7963552262059567
ENSG00000162194	ENSG00000162194	-2.262631056861807	0.8089999999999999	0.025817058713421104	0.4390818477118142
ENSG00000127948	ENSG00000127948	-1.913809846030064	1.154	0.4754889665356378	0.6467619885991842
ENSG00000145040	ENSG00000145040	-1.9360702505090124	0.217	0.0018181818181818182	0.16317330066668534
ENSG00000178343	ENSG00000178343	-2.390761615214412	0.3389999999999999	0.0	0.30138736583298675
ENSG00000069206	ENSG00000069206	-1.9845636475488464	0.965	0.21267704498658513	0.19061214611305388
ENSG00000056050	ENSG00000056050	-1.639633885022911	0.871	0.3087968220294919	0.8927484906472976
ENSG00000130943	ENSG00000130943	-2.353366846802252	0.8300000000000001	0.047785507788939495	0.12751836601962965
