STITCH ID	Drug status	Phase	CGE	OGE	Network	Expression	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00000006	unapproved	Phase 1	-1.9836103536711651	0.9437999999999999	0.5198763693410228	0.5654860794783975	206.58378	2.1552	4.0	0.0	122.3	0.0	1.0	2.0	48.6424	1.0	0.0	1.0	0.530006379107434
CIDs00000040	unapproved	Phase 3	-1.6319949177103956	1.3935	0.588000405565608	0.5908414966479208	164.15648	-2.1922	4.0	5.0	90.15	0.0	0.0	1.0	34.5742	1.0	0.0	1.0	0.353172322423593
CIDs00000085	unapproved	Phase 3	-2.069396641445349	0.8922000000000001	0.36046129448222786	0.5321069448453424	161.1989	-1.8065	1.0	3.0	60.36	0.0	0.0	4.0	39.1287	1.0	0.0	1.0	0.494483460314048
CIDs00000138	unapproved	Phase 1	-1.9083966333248086	1.295	0.18402243089785983	0.5962308559116518	117.14634	0.9003	2.0	3.0	63.32	0.0	0.0	4.0	30.6282	1.0	0.0	1.0	0.53752641418583
CIDs00000174	approved	Phase 4	-2.200245661741263	0.7081428571428571	0.4221752281120847	0.4443170332545251	62.06784	-1.029	2.0	2.0	40.46	0.0	0.0	1.0	14.0516	1.0	0.0	1.0	0.407527767639087
CIDs00000175	approved	Phase 4	-1.9057768328360463	1.0105907335907338	0.33006543775589725	0.43319027491621565	60.05196	0.0909	1.0	2.0	37.3	0.0	0.0	0.0	13.4998	1.0	0.0	1.0	0.429882851139565
CIDs00000185	approved	Phase 4	-2.1999155616312636	1.167	0.2473186393793806	0.22473672200853811	189.16594	-0.1686	3.0	6.0	103.7	0.0	0.0	6.0	42.3083	1.0	0.0	1.0	0.535587405048424
CIDs00000187	approved	Phase 4	-2.111293553085695	0.9404336283185848	0.2929029208883556	0.3154066800335464	146.20744	0.2557	0.0	2.0	26.3	1.0	0.0	4.0	39.4224	1.0	0.0	1.0	0.41974060294447
CIDs00000190	unapproved	Phase 3	-1.696984049320531	1.143815789473684	0.4013568057849747	0.6397808954899736	135.1267	0.5163	2.0	4.0	80.48	0.0	3.0	0.0	36.0881	1.0	0.0	1.0	0.470405768249514
CIDs00000237	unapproved	Phase 2	-1.5969844520240335	1.118277777777778	0.49940330437756664	0.5482101056848359	399.9568	6.0454	1.0	4.0	37.39	0.0	6.0	9.0	121.4087	0.0	0.0	1.0	0.300331173451351
CIDs00000244	approved	Phase 4	-2.126570494481315	0.663	0.38646079879092915	0.43477703402396384	108.13782	1.1789	1.0	1.0	20.23	0.0	1.0	1.0	32.5698	1.0	0.0	1.0	0.572340574464543
CIDs00000247	approved	Phase 4	-1.7076172515115577	1.22825	0.4193896497577005	0.4658797183819725	118.15428	-0.2228	1.0	2.0	37.3	1.0	0.0	2.0	30.2952	1.0	0.0	1.0	0.508739789038011
CIDs00000280	unapproved	Phase 3	-1.7992265552065092	1.1221615720524014	0.33940962026507454	0.5348238299652875	44.0095	-0.5835	0.0	2.0	34.14	0.0	0.0	0.0	5.007	1.0	0.0	1.0	0.364167421510861
CIDs00000311	approved	Phase 4	-1.6114875122937489	1.1369303482587065	0.4269695541758357	0.5945309215544737	192.12352	-1.2485	4.0	7.0	132.13	0.0	0.0	5.0	37.4712	1.0	0.0	1.0	0.427421878908765
CIDs00000359	approved	Phase 4	-2.373071528936075	1.502	0.3583981198394376	0.495728423361737	126.11004	0.8034	3.0	3.0	60.69	0.0	1.0	0.0	32.511	1.0	0.0	1.0	0.481543861183074
CIDs00000370	unapproved	Phase 2	-1.989003086089194	1.1974736842105262	0.5571477353457269	0.5323430174816135	170.11954	0.5016	4.0	5.0	97.99	0.0	1.0	1.0	39.4703	1.0	0.0	1.0	0.459887692523845
CIDs00000379	unapproved	Phase 2	-1.539392740264989	1.1632608695652176	0.3111377810813817	0.6045212657371131	144.21144	2.4315	1.0	2.0	37.3	0.0	0.0	6.0	42.3418	1.0	0.0	1.0	0.581151845562437
CIDs00000444	approved	Phase 4	-1.88409730852641	1.186	0.4543034548317363	0.44296029567548795	239.74112	3.6902	1.0	2.0	29.1	0.0	1.0	4.0	68.5212	1.0	0.0	1.0	0.812355134538371
CIDs00000457	unapproved	Phase 2	-2.2475224750738176	0.58925	0.3736910629978578	0.23006947242490658	137.15916	0.3103	1.0	2.0	46.97	1.0	1.0	1.0	38.1279	1.0	0.0	1.0	0.566097061433968
CIDs00000460	unapproved	Phase 3	-2.010341987112336	0.41	0.37472438870517116	0.5889489777208808	124.13722	1.4008	1.0	2.0	29.46	0.0	1.0	1.0	34.957	1.0	0.0	1.0	0.61276978028532
CIDs00000525	approved	Phase 4	-1.8719770275540757	1.0321666666666667	0.3040082361015785	0.5265902958075311	134.08744	-1.0934	3.0	5.0	94.83	0.0	0.0	3.0	26.0474	1.0	0.0	1.0	0.455340398448363
CIDs00000588	unapproved	Phase 3	-1.8141014412480274	0.9059000000000001	0.42913428381273266	0.47380657475296817	113.11788	-1.1531	1.0	4.0	58.69	0.0	1.0	0.0	35.9574	1.0	0.0	1.0	0.461088813522068
CIDs00000597	unapproved	Phase 2	-1.4452865542417912	1.0758571428571426	0.347643232996699	0.6811895516226069	111.102	-0.0667000000000003	2.0	3.0	71.77	0.0	1.0	0.0	29.2621	1.0	0.0	1.0	0.491989874884508
