STITCH ID	Smiles	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs11200189	CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1	392.49072	4.1493	2.0	5.0	61.8	0.0	2.0	5.0	118.8012	1.0	1.0	1.0	0.800468430688348
CIDs09834591	N[C@@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21	235.21446	-0.3228	3.0	7.0	143.14	0.0	0.0	2.0	46.788	1.0	0.0	0.0	0.594295921720587
CIDs00051263	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	416.51718	1.3218	0.0	9.0	85.49	0.0	2.0	10.0	119.431	1.0	1.0	1.0	0.569112996091483
CIDs00007405	O=C1CC[C@@H](C(=O)O)N1	129.11398	-0.3216	2.0	4.0	66.4	0.0	0.0	1.0	32.7235	1.0	0.0	1.0	0.508766239910678
CIDs00039764	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1	557.82738	5.8626	0.0	5.0	55.84	1.0	0.0	6.0	169.597	0.0	0.0	1.0	0.302380170958683
CIDs00004826	CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C	245.32346	2.81868	2.0	5.0	73.1	0.0	1.0	5.0	73.1674	1.0	0.0	1.0	0.473832535563257
CIDs00002148	Nc1ccc(C(=O)NCC(=O)O)cc1	194.1873	1.0553	3.0	5.0	92.42	0.0	1.0	4.0	50.4214	1.0	0.0	1.0	0.622903322996105
CIDs00197705	N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1	403.4769	2.97158	2.0	6.0	98.38	0.0	4.0	7.0	122.7741	1.0	1.0	1.0	0.492263218265709
CIDs09576916	COC(=O)C[C@@H]1C[C@@H](COc2ccc(-c3ccc(C(=N)NC(=O)OC)cc3)cc2)NC1=O	439.4611	3.301	3.0	9.0	126.81	0.0	2.0	11.0	120.7531	1.0	1.0	0.0	0.274469191791424
CIDs00006291	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C	310.42994	3.9156	1.0	2.0	29.46	0.0	1.0	1.0	93.3098	1.0	1.0	1.0	0.796835387533452
CIDs06450822	CC(C)(C)CCC#C[C@@H]1C[C@H]1c1c[nH]cn1	216.322	3.3429	1.0	1.0	28.68	0.0	1.0	3.0	67.4117	1.0	0.0	1.0	0.771193756813405
CIDs00657201	CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	282.44148	3.4746	0.0	2.0	26.3	1.0	0.0	7.0	88.758	1.0	1.0	1.0	0.527723322711309
CIDs00006288	C[C@@H](O)[C@H](N)C(=O)O	119.11916	-0.5206	3.0	4.0	83.55	0.0	0.0	2.0	26.983	1.0	0.0	1.0	0.456332363941808
CIDs10298385	Cc1cc(C(=O)N2CCCCc3ccccc32)ccc1CNC(=O)N1CCC[C@H]1C(=O)N(C)C	462.58386	4.1341	1.0	7.0	72.96	0.0	2.0	8.0	140.5302	1.0	1.0	1.0	0.632226737081394
CIDs00000598	O=S(=O)(O)CCS	142.19724	0.8848	2.0	4.0	101.55	0.0	0.0	2.0	30.1928	1.0	0.0	1.0	0.441042035260174
CIDs00003180	CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1	289.41248	3.8621	0.0	3.0	29.54	0.0	1.0	8.0	91.0885	1.0	1.0	1.0	0.537375768481572
CIDs03001322	CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2	577.71102	4.7846	3.0	9.0	119.41	0.0	2.0	10.0	171.8128	0.0	0.0	1.0	0.366359594889064
CIDs00003610	CCCCCCc1ccc(O)cc1O	194.27012	3.2206	2.0	2.0	40.46	0.0	1.0	5.0	59.489	1.0	0.0	1.0	0.706401798759721
CIDs10026128	CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21	438.4664664	5.1101	1.0	4.0	62.4	0.0	4.0	5.0	122.5012	0.0	1.0	1.0	0.440057541624313
CIDs00013505	CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1	452.58728	5.42118	0.0	4.0	53.33	0.0	3.0	9.0	138.756	0.0	1.0	1.0	0.40686714671944
CIDs00002911	OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1	287.43966	3.8783	1.0	2.0	23.47	0.0	1.0	5.0	92.7198	1.0	1.0	1.0	0.888153810961695
CIDs00000185	CC(=O)NC(CCC(=O)O)C(=O)O	189.16594	-0.1686	3.0	6.0	103.7	0.0	0.0	6.0	42.3083	1.0	0.0	1.0	0.535587405048424
CIDs00009015	COc1ccc(O)cc1	124.13722	1.4008	1.0	2.0	29.46	0.0	1.0	1.0	34.957	1.0	0.0	1.0	0.61276978028532
CIDs00002479	CCC(C)C1(CC)C(=O)NC(=O)NC1=O	212.24564	1.4525	2.0	5.0	75.27	0.0	0.0	3.0	62.2324	1.0	0.0	1.0	0.692410992941382
CIDs00006473	CCCCC1(CC)C(=O)NC(=O)NC1=O	212.24564	1.5966	2.0	5.0	75.27	0.0	0.0	4.0	62.2324	1.0	0.0	1.0	0.692069062356502
CIDs00008944	CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1	352.46992	3.9273	1.0	4.0	55.56	0.0	2.0	7.0	109.4274	1.0	1.0	1.0	0.605908649789679
CIDs00005480	CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2	316.4179	3.5844	1.0	5.0	83.8	0.0	4.0	5.0	93.5399	1.0	1.0	1.0	0.568827156007169
CIDs11210478	C[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1	356.21656	4.01938	1.0	4.0	65.78	0.0	2.0	5.0	88.4937	1.0	1.0	1.0	0.499276980628682
