chemical	protein	combined_score	ensgid	symbol
CIDs00000006	9606.ENSP00000431049	931	ENSG00000197448	GSTK1
CIDs00000006	9606.ENSP00000265498	908	ENSG00000085871	MGST2
CIDs00000006	9606.ENSP00000264246	800	ENSG00000121594	CD80
CIDs00000006	9606.ENSP00000263341	700	ENSG00000125538	IL1B
CIDs00000006	9606.ENSP00000263025	700	ENSG00000102882	MAPK3
CIDs00000006	9606.ENSP00000256594	918	ENSG00000134202	GSTM3
CIDs00000006	9606.ENSP00000256593	910	ENSG00000134201	GSTM5
CIDs00000006	9606.ENSP00000250151	700	ENSG00000129277	CCL4
CIDs00000006	9606.ENSP00000246657	824	ENSG00000126353	CCR7
CIDs00000006	9606.ENSP00000241337	932	ENSG00000213366	GSTM2
CIDs00000006	9606.ENSP00000229794	700	ENSG00000112062	MAPK14
CIDs00000006	9606.ENSP00000225831	700	ENSG00000108691	CCL2
CIDs00000006	9606.ENSP00000221130	952	ENSG00000104687	GSR
CIDs00000006	9606.ENSP00000215832	700	ENSG00000100030	MAPK1
CIDs00000006	9606.ENSP00000211122	955	ENSG00000174156	GSTA3
CIDs00000006	9606.ENSP00000010404	922	ENSG00000008394	MGST1
CIDs00000006	9606.ENSP00000284562	900	ENSG00000182793	GSTA5
CIDs00000006	9606.ENSP00000293272	700	ENSG00000161570	CCL5
CIDs00000006	9606.ENSP00000420168	955	ENSG00000244067	GSTA2
CIDs00000006	9606.ENSP00000301522	700	ENSG00000167815	PRDX2
CIDs00000006	9606.ENSP00000298510	700	ENSG00000165672	PRDX3
CIDs00000006	9606.ENSP00000398698	729	ENSG00000232810	TNF
CIDs00000006	9606.ENSP00000381607	937	ENSG00000084207	GSTP1
CIDs00000006	9606.ENSP00000370129	700	ENSG00000151632	AKR1C2
CIDs00000006	9606.ENSP00000361359	824	ENSG00000101017	CD40
CIDs00000006	9606.ENSP00000358851	914	ENSG00000168765	GSTM4
CIDs00000006	9606.ENSP00000358727	933	ENSG00000148834	GSTO1
CIDs00000006	9606.ENSP00000357066	800	ENSG00000118520	ARG1
CIDs00000006	9606.ENSP00000359998	954	ENSG00000170899	GSTA4
CIDs00000006	9606.ENSP00000353483	700	ENSG00000107643	MAPK8
CIDs00000006	9606.ENSP00000345023	929	ENSG00000065621	GSTO2
CIDs00000006	9606.ENSP00000340684	910	ENSG00000189221	MAOA
CIDs00000006	9606.ENSP00000335620	863	ENSG00000243955	GSTA1
CIDs00000006	9606.ENSP00000331614	800	ENSG00000185811	IKZF1
CIDs00000006	9606.ENSP00000311469	942	ENSG00000134184	GSTM1
CIDs00000006	9606.ENSP00000306512	938	ENSG00000169429	IL8
CIDs00000006	9606.ENSP00000354511	900	ENSG00000093010	COMT
CIDs00000040	9606.ENSP00000290573	841	ENSG00000159399	HK2
CIDs00000040	9606.ENSP00000206249	800	ENSG00000091831	ESR1
CIDs00000040	9606.ENSP00000265724	800	ENSG00000085563	ABCB1
CIDs00000040	9606.ENSP00000268035	800	ENSG00000140443	IGF1R
CIDs00000040	9606.ENSP00000270202	872	ENSG00000142208	AKT1
CIDs00000040	9606.ENSP00000276431	800	ENSG00000120889	TNFRSF10B
CIDs00000040	9606.ENSP00000306245	851	ENSG00000170345	FOS
CIDs00000040	9606.ENSP00000344411	819	ENSG00000169962	TAS1R3
CIDs00000040	9606.ENSP00000324173	840	ENSG00000044574	HSPA5
CIDs00000040	9606.ENSP00000338606	855	ENSG00000123415	SMUG1
CIDs00000040	9606.ENSP00000339527	800	ENSG00000118689	FOXO3
CIDs00000040	9606.ENSP00000358022	843	ENSG00000143384	MCL1
CIDs00000040	9606.ENSP00000358323	800	ENSG00000117289	TXNIP
CIDs00000040	9606.ENSP00000387662	828	ENSG00000115263	GCG
CIDs00000040	9606.ENSP00000311032	819	ENSG00000164305	CASP3
CIDs00000085	9606.ENSP00000287820	848	ENSG00000132170	PPARG
CIDs00000085	9606.ENSP00000200652	724	ENSG00000197208	SLC22A4
CIDs00000085	9606.ENSP00000216117	800	ENSG00000100292	HMOX1
CIDs00000085	9606.ENSP00000219700	800	ENSG00000103415	HMOX2
CIDs00000085	9606.ENSP00000245407	993	ENSG00000197375	SLC22A5
