Node	hg38_symbol	hg38_ensgid	Degree Centrality	Betweenness Centrality
9606.ENSP00000000233	ARF5	ENSG00000004059	0.0236087689713322	0.0003746159605836
9606.ENSP00000264718	GPN1	ENSG00000198522	0.0095196649077952	5.470145267535467e-05
9606.ENSP00000346046	RPS17	ENSG00000182774	0.0238263613120818	6.526428686479286e-05
9606.ENSP00000347134	NET1	ENSG00000173848	0.0102812381004188	3.280708794347521e-05
9606.ENSP00000317469	BBS1	ENSG00000174483	0.0110972093782298	0.0001540488710771
9606.ENSP00000302393	LDHAL6B	ENSG00000171989	0.0093020725670456	4.542470617193936e-05
9606.ENSP00000354876	MT-CO2	ENSG00000198712	0.0121851710819779	0.0002055141540627
9606.ENSP00000381607	GSTP1	ENSG00000084207	0.010172441930044	0.0001649222972949
9606.ENSP00000319781	RAB43	ENSG00000172780	0.0085948974596094	5.581769983044863e-05
9606.ENSP00000216366	AP4S1	ENSG00000100478	0.0041886525594299	6.139894154812083e-06
9606.ENSP00000264051	NGEF	ENSG00000066248	0.0100092476744818	4.750559078815745e-05
9606.ENSP00000250244	AP1M2	ENSG00000129354	0.0135451232116629	0.0001022015755606
9606.ENSP00000296271	RHO	ENSG00000163914	0.007996518522548	0.0001922492057409
9606.ENSP00000426909	GNB2L1	ENSG00000204628	0.0534733177392155	0.0019458657287078
9606.ENSP00000357048	COPA	ENSG00000122218	0.0158298427895338	0.0002383140404601
9606.ENSP00000264400	RASGEF1B	ENSG00000138670	0.0133275308709133	0.0002036788867719
9606.ENSP00000411197	TBC1D9	ENSG00000109436	0.0041886525594299	6.483685288645897e-06
9606.ENSP00000312442	AP1G2	ENSG00000213983	0.0121851710819779	0.0001346963661075
9606.ENSP00000470383	ENSG00000268465	ENSG00000268465	0.0032094870260566	3.6668780873444568e-06
9606.ENSP00000260363	KIF23	ENSG00000137807	0.062340205624762	0.0036483602873816
9606.ENSP00000378557	DAAM1	ENSG00000100592	0.0210520589675243	0.0001366978922495
9606.ENSP00000392513	AGAP4	ENSG00000188234	0.0026655061741826	2.2541660704378427e-06
9606.ENSP00000310521	SEC22A	ENSG00000121542	0.0143610944894739	0.0001748352577419
9606.ENSP00000365630	RASEF	ENSG00000165105	0.0151226676820975	6.416530661384422e-05
9606.ENSP00000381293	NSF	ENSG00000073969	0.0200184953489637	0.0005623145237576
9606.ENSP00000216133	CBX7	ENSG00000100307	0.0089212859707338	1.9987204433556733e-05
9606.ENSP00000325002	COPG1	ENSG00000181789	0.0159386389599086	0.0001690439590009
9606.ENSP00000251157	DOCK7	ENSG00000116641	0.0111516074634172	6.464471442826514e-05
9606.ENSP00000380185	PLEKHG6	ENSG00000008323	0.0087580917151716	3.078494533813148e-05
9606.ENSP00000298910	LRRK2	ENSG00000188906	0.1402926616983082	0.016206437038811
9606.ENSP00000361057	SURF4	ENSG00000148248	0.0060381874558015	0.0001342006428371
9606.ENSP00000452401	ENSG00000258989	ENSG00000258989	0.009900451504107	2.8038041214176235e-05
9606.ENSP00000261890	RAB11A	ENSG00000103769	0.0329652396235652	0.0009707990484728
9606.ENSP00000394487	FGD4	ENSG00000139132	0.0108252189522928	4.001451115297361e-05
9606.ENSP00000321266	PITPNB	ENSG00000180957	0.0038622640483054	1.304011581386685e-05
9606.ENSP00000280772	ANK3	ENSG00000151150	0.0150682695969101	0.0003077448596526
9606.ENSP00000291906	PKN3	ENSG00000160447	0.0100092476744818	3.876800761477965e-05
9606.ENSP00000262039	PIK3C3	ENSG00000078142	0.0351411630310613	0.0008987648468938
9606.ENSP00000264710	RAB10	ENSG00000084733	0.0224120110972093	0.0004758484002702
9606.ENSP00000369127	DNAJA1	ENSG00000086061	0.0233367785453952	0.0003712617485985
9606.ENSP00000446271	LSM14A	ENSG00000257103	0.017080998748844	0.0001390146387266
9606.ENSP00000328287	RNF123	ENSG00000164068	0.0424849045313604	0.0088958490863968
9606.ENSP00000365643	DOCK9	ENSG00000088387	0.0082141108632976	1.409844859326228e-05
9606.ENSP00000258201	FHOD1	ENSG00000135723	0.0088668878855464	4.836779179459021e-05
9606.ENSP00000355026	ARHGEF15	ENSG00000198844	0.0095740629929826	3.786904058951724e-05
9606.ENSP00000376077	SUMO1	ENSG00000116030	0.0622858075395746	0.002737093923619
9606.ENSP00000262812	COPE	ENSG00000105669	0.0113148017189794	0.0001534643545121
9606.ENSP00000439625	PLEKHG5	ENSG00000171680	0.0089756840559212	1.9178280649846345e-05
