STITCH ID	Drug status	Phase	CGE	OGE_CGE	Chemical	OGE	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs00000006	unapproved	Phase 1	0.374735294117647	0.7298968062982769	0.4282935768751945	0.2230399772749041	0.3982832902391726	0.481243954248366
CIDs00000040	unapproved	Phase 3	0.7159906542056075	0.0133713618157543	0.1726212387560518	0.2001028037383177	0.3054579439252336	0.4372429906542056
CIDs00000085	unapproved	Phase 3	0.511625	0.7925535796957672	0.7258727802579364	0.9123020833333334	0.5081040426587301	0.4666875
CIDs00000138	unapproved	Phase 1	0.5446888888888889	0.6266145498637166	0.4689048982498982	0.0737666666666667	0.5254349137064823	0.4294818518518519
CIDs00000174	approved	Phase 4	0.662	0.8398528553332345	0.414483500417711	0.7715186090225564	0.7659206548354459	0.4791929824561403
CIDs00000175	approved	Phase 4	0.812828947368421	0.7268194914369256	0.6410918859649123	0.0264484649122807	0.5704958567565476	0.5097236842105263
CIDs00000185	approved	Phase 4	0.6852054794520548	0.659223385518591	0.5526499836921069	0.9343058545335944	0.8182875407697325	0.6372214611872147
CIDs00000187	approved	Phase 4	0.9703955555555556	0.8614116137566138	0.7541609523809524	0.9093493333333332	0.6367207407407407	0.71468
CIDs00000190	unapproved	Phase 3	0.046578431372549	0.5272009803921569	0.4258288515406163	0.5381871148459384	0.2769588157485216	0.469806045751634
CIDs00000237	unapproved	Phase 2	0.5099587628865979	0.4421443298969072	0.4180987972508591	0.9120309278350516	0.5623501840942563	0.396958762886598
CIDs00000244	approved	Phase 4	0.6827916666666667	0.5425336309523809	0.6508116567460317	0.5585291335978836	0.5212665606742926	0.6059074074074073
CIDs00000247	approved	Phase 4	0.4803846153846154	0.1364910231221769	0.4070241391941392	0.4237431146015934	0.484901298615914	0.5606292307692308
CIDs00000280	unapproved	Phase 3	0.9667422680412372	0.5518747422680412	0.8509027000490917	0.8374452012763868	0.3035290746195385	0.6495567010309278
CIDs00000311	approved	Phase 4	0.18175	0.4832916666666666	0.6062270998677248	0.7498753141534391	0.4828716600529101	0.4223310185185185
CIDs00000359	approved	Phase 4	0.7363243243243243	0.811888241000741	0.7382708172458172	0.0743918918918919	0.727860942520869	0.5547511261261261
CIDs00000370	unapproved	Phase 2	0.378647619047619	0.4421	0.5726511574933003	0.7775428571428571	0.2933844444444444	0.4476888888888889
CIDs00000379	unapproved	Phase 2	0.3833061224489796	0.642704081632653	0.524185167638484	0.1473668367346939	0.3174134353741497	0.5300894557823129
CIDs00000444	approved	Phase 4	0.3303636363636363	0.7518439393939393	0.6052813492063491	0.9645099585599586	0.7118383838383838	0.71129898989899
CIDs00000457	unapproved	Phase 2	0.2292079207920792	0.593923451988056	0.7578420674210278	0.6587211692597831	0.5759269054828632	0.7186511551155115
CIDs00000460	unapproved	Phase 3	0.6049776937631529	0.3274771737049798	0.8687969299408075	0.1897857142857142	0.4140257794926162	0.5510697278911564
CIDs00000525	approved	Phase 4	0.4404366197183099	0.6599634305835009	0.1623969930695283	0.7583169324024958	0.4137929745137492	0.2514715962441314
CIDs00000588	unapproved	Phase 3	0.2319241176470588	0.5559160219192573	0.4350599299719888	0.6821378991596638	0.6261166433239962	0.5472686274509804
CIDs00000597	unapproved	Phase 2	0.2472045454545454	0.7246250135281385	0.6374892721861471	0.9285039231601732	0.3698670343860684	0.4696392045454545
CIDs00000598	approved	Phase 4	0.1960571428571428	0.5513163265306122	0.7025646315192744	0.5661576162544678	0.3257213548752835	0.4592571428571429
CIDs00000602	unapproved	Phase 3	0.1478091353348297	0.1699555996472663	0.488982256760729	0.934425925925926	0.481167151675485	0.5118132716049383
CIDs00000612	approved	Phase 4	0.9747826086956524	0.6973679839886362	0.141609420289855	0.325982493673798	0.5679081608005522	0.3759130434782609
CIDs00000670	approved	Phase 4	0.4545176470588235	0.6097296479668628	0.3893483473389356	0.0418933395952636	0.528742948963004	0.4160705882352941
CIDs00000679	approved	Phase 4	0.2524320987654321	0.8417697530864198	0.4318544973544973	0.6318024691358025	0.746741975308642	0.6341347736625514
CIDs00000681	approved	Phase 4	0.9980845070422536	0.7927418511066399	0.661597619047619	0.941424882629108	0.8417927982033616	0.7633643863179075
CIDs00000702	approved	Phase 4	0.8271138308762804	0.5625123354891427	0.8492871485943775	0.9903132530120482	0.7333382099827883	0.7521004016064258
CIDs00000712	approved	Phase 4	0.7739701492537314	0.5843554371002132	0.7075334577114428	0.6469402985074627	0.4035226368159204	0.6247014925373134
CIDs00000727	approved	Phase 4	0.0895507246376811	0.541780007593051	0.577707574189096	0.1407755191117891	0.3120308776167472	0.5263043478260869
CIDs00000750	approved	Phase 4	0.3386393442622951	0.3313710772833724	0.3547402354931043	0.2505983606557377	0.4508754098360655	0.4844754098360656
CIDs00000753	approved	Phase 4	0.89084375	0.45009375	0.553719494047619	0.921703125	0.6011671875	0.537359375
CIDs00000757	unapproved	Phase 2	0.3242946428571428	0.79275	0.6287597895408163	0.7763035714285714	0.6843818229324071	0.6607857142857142
CIDs00000764	unapproved	Phase 3	0.7154166666666667	0.5801215277777777	0.5490449776785714	0.3794119626322751	0.25725	0.3847795138888889
CIDs00000767	unapproved	Phase 3	0.6966739842726081	0.5660273455647309	0.6971290301441677	0.6038440366972477	0.2908632881898936	0.6563288990825689
CIDs00000774	approved	Phase 4	0.9854413898117388	0.744277934662237	0.6602769933554817	0.1696492801771871	0.7983996690002504	0.7218643410852713
CIDs00000784	approved	Phase 4	0.6392380952380952	0.6799562736205593	0.7424013605442178	0.6037453505929699	0.5589143801965231	0.6727222222222222
CIDs00000785	approved	Phase 4	0.4117402597402597	0.6633088744588745	0.7595212894248609	0.748857967429396	0.7136863017934447	0.6249025974025973
CIDs00000864	approved	Phase 4	0.0001571428571428	0.5078014115646259	0.5468909580498865	0.9749681626450114	0.2825494217687074	0.4871747619047619
CIDs00000890	unapproved	Phase 3	0.2047604166666666	0.1262916666666666	0.4709293898809523	0.0697957654958005	0.511232316468254	0.4289583333333333
CIDs00000931	unapproved	Phase 1	0.3944187935115567	0.4517459820880873	0.4449439745196324	0.9020930465489676	0.5679804972991118	0.5489254385964912
CIDs00000936	approved	Phase 4	0.8426865671641791	0.475776119402985	0.5453376865671642	0.5639101338545368	0.5516084577114427	0.4789950248756219
CIDs00000942	unapproved	Phase 2	0.1813407524120759	0.6516850490196078	0.8117288476501712	0.3898282679738562	0.8013336223049027	0.6608071895424836
CIDs00000943	unapproved	Phase 3	0.451109243697479	0.3969915966386554	0.5486923169267707	0.2292383053221288	0.6014943177270908	0.6665966386554623
CIDs00000948	approved	Phase 4	0.5192855134284885	0.5010152297796365	0.4977141646489104	0.2494474576271186	0.6026330245554822	0.5912372881355933
CIDs00000957	unapproved	Phase 2	0.0091818181818181	0.4756396711873984	0.5323596520763187	0.6126363636363636	0.5318498328551359	0.5831708754208754
CIDs00000967	unapproved	Phase 2	0.0018	0.0453777777777777	0.3601620105820106	0.9363555555555556	0.3798981613756613	0.4284407407407407
CIDs00000977	approved	Phase 4	0.0336573222116327	0.625569902798351	0.6629651340996168	0.6855141762452107	0.4446130995122374	0.5807547892720306
CIDs00000978	approved	Phase 4	0.2806811594202898	0.299669905738384	0.5091335999749043	0.3621683057280883	0.3362087066315327	0.4583468599033816
CIDs00000983	unapproved	Phase 3	0.0058563055191495	0.1941354528244436	0.5802883573612931	0.3442950474601851	0.391145755060434	0.4935622324159021
CIDs00000995	unapproved	Phase 1	0.0293505154639175	0.2433209621993127	0.5732678203240059	0.6975496544406338	0.6047078877880424	0.6142886597938144
CIDs00000996	approved	Phase 4	0.0743076923076923	0.5838121184371184	0.6611917633292633	0.961403846153846	0.6065134615384615	0.6010299145299145
CIDs00000999	approved	Phase 4	0.6264624060150377	0.8702863111841989	0.6810302527151212	0.967545382870054	0.6231497789031604	0.7106537280701755
CIDs00001003	approved	Phase 4	0.1331538461538461	0.3039614061864061	0.4366778161653161	0.8558120055870057	0.446832326007326	0.5042222222222222
CIDs00001015	unapproved	Phase 2	0.8361339285714287	0.7989821428571429	0.4600772534013605	0.9264006200396826	0.2976621563208616	0.4288855654761905
CIDs00001023	unapproved	Phase 2	0.5637378640776699	0.7193236245954693	0.4546414624749576	0.9738252427184466	0.803569579288026	0.5499838187702265
CIDs00001030	unapproved	Phase 3	0.4702291093793087	0.8136597102953164	0.5128630631713965	0.7802565656565656	0.4903569197357076	0.5180505050505051
CIDs00001032	unapproved	Phase 2	0.9997934782608696	0.8444673913043479	0.5387304089026915	0.7534104727398205	0.8413997183070553	0.642891304347826
CIDs00001045	unapproved	Phase 3	0.3083636363636363	0.5856818181818182	0.5104021645021645	0.6392727272727273	0.2313504058441558	0.3643478625541125
CIDs00001046	approved	Phase 4	0.1138684210526315	0.6338529854017757	0.2938561403508772	0.2998298672818409	0.6118392155116222	0.5226649122807018
CIDs00001050	unapproved	Phase 3	0.5254176093064026	0.5902799466338259	0.614343035030104	0.6130998665845648	0.5324770124224171	0.6817087848932676
CIDs00001051	unapproved	Phase 3	0.5056989247311828	0.7058064516129032	0.3792916794674859	0.702055376344086	0.3234895758661887	0.4242807091653866
CIDs00001052	unapproved	Phase 2	0.5673645833333333	0.5453598462301588	0.7013394427910052	0.5996272197420635	0.6243642689884769	0.4568189236111111
CIDs00001054	approved	Phase 4	0.8439268292682927	0.8759766260162601	0.3054497241579558	0.7503658536585366	0.3210280709795876	0.4222876016260162
CIDs00001057	approved	Phase 4	0.827564705882353	0.5517962324929973	0.8419392436974791	0.8760644911297852	0.6670742577030812	0.7320049019607843
CIDs00001060	unapproved	Phase 2	0.905346212121212	0.3490933662016995	0.4398415263748597	0.7897373737373737	0.3229582577751027	0.4277373737373737
CIDs00001084	approved	Phase 4	0.4351	0.2098282341269841	0.6275359375	0.924966875	0.5947441036741037	0.51423875
